Key,Text
landing_heading,北达科他州立大学校园植物园
landing_datasheet_link,关于这种植物
landing_start_quiz,你能辨认出我吗？
landing_homepage_link,查看更多植物
landing_languages,语言
welcome_heading,欢迎参加北达科他州立大学木本植物识别测验！
welcome_text,本测验旨在帮助你学习如何识别木本植物的关键特征。点击树木的各个特征来练习识别技能，然后提交答案。
welcome_action,继续
quiz_main_heading,你能辨认出我吗？
quiz_seasonal_heading,
quiz_main_continue,我知道了！
quiz_identify_heading,我是什么植物？
quiz_identify_submit,提交/确认
answer_synonym_joiner,","
answer_final_synonym_joiner,
result_synonym_heading,
progress_title,
progress_out_of,
,
tree_type_deciduous,
tree_type_coniferous,
,
*** SEASONAL QUESTION BUTTONS ***,
deciduous_seasonal_button_1,花
deciduous_seasonal_button_2,果实或种子
deciduous_seasonal_button_3,秋季叶色
coniferous_seasonal_button_1,
quiz_seasonal_close,
,
*** LANGUAGE SUPPORT ***,
language_choice_en,
language_choice_es,
language_choice_cmn,
